Stream,Duration,Avg Viewers,Max Viewers,Followers,Views,Title,Games
2024-11-15 00:21,124,12,15,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run っぽく走る any% Daria @bonkotu25,
2024-11-18 08:47,57,8,11,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run any% Daria @bonkotu25,
2024-11-19 00:03,71,8,11,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run any% Daria @bonkotu25,
2024-11-19 08:04,110,78,149,0,0,【JP/mini EN】自鯖で適当に遊びます @bonkotu25,
2024-11-21 08:18,76,8,9,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run any% Daria @bonkotu25,
2024-11-21 23:29,95,9,10,0,0,【JP/mini EN】【RTA】Rune Factory 3 speed run any% Daria @bonkotu25,
2024-11-23 22:34,120,6,6,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。@bonkotu25,
2024-11-24 21:11,233,8,9,1,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。@bonkotu25,
2024-11-25 08:10,84,6,6,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。@bonkotu25,
2024-11-26 08:14,80,9,13,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。@bonkotu25,
2024-11-26 23:07,57,7,8,0,0,【JP/mini EN】12時過ぎくらいまで、お勉強ノート整理作業 @bonkotu25,
2024-11-27 06:52,162,6,6,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。@bonkotu25,
2024-11-28 06:59,155,11,14,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。@bonkotu25,
2024-11-29 08:18,86,10,13,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。@bonkotu25,
2024-11-30 21:05,239,7,10,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。 @bonkotu25,
2024-12-04 08:19,75,9,9,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。 @bonkotu25,
2024-12-05 08:11,83,10,11,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。 @bonkotu25,
2024-12-06 08:32,32,6,6,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。 @bonkotu25,
2024-12-10 08:24,70,6,6,0,0,【JP/mini EN】母親への献上品ポケモンを捕まえる旅です。 @bonkotu25,
